Index,Text,Grade,Type,bert.2.pred,bert.2.prob.1,bert.2.prob.2,bert.2.prob.3,bert.2.prob.4,bert.2.prob.5
17,"What begins with the words We the people? It is the Constitution of the United States. That is a written plan. It tells the
The Constitution is 221 years old. It was signed on September 17, 1787. At that time, the United States was a new country. It was made up of only 13 states. A group of leaders wanted to make the country better. That is why they worked together to write the Constitution.
Why is it important to have laws?
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,0,0.760039746761322,0.17002470791339874,0.036897242069244385,0.01859382726252079,0.014444530010223389
274,"Winter brings many holidays, they are celebrated in different ways. Bright lights are a part of each one. Read below to learn more!
Cast a glow on winter's dark nights.
Ramadan lanterns burn bright as can be,
All of the holiday lights have good reason,
U.S. Department of Health and Human Services
Hanukkah is a Jewish holiday that lasts for eight nights.
Hanukkah is a Jewish holiday. It is celebrated for eight nights. On each of the eight nights, a candle is lit in a special candleholder called a
Christmas is a Christian holiday. It is celebrated in most places on December 25. People sing carols, set up mangers, and decorate trees with ornaments and strings of lights.
Las Posadas is a Hispanic holiday. This holiday is celebrated for nine nights. On the last night, people carry candles to light their way while walking in a special parade.
U.S. Department of Health and Human Services
Kwanzaa lasts for seven nights and is a celebration of family, community, and culture.
Kwanzaa is an African American holiday. It lasts for seven nights. Each night, people eat special foods and light candles in a special candleholder called a
Ramadan is an Islamic holiday. It is celebrated for one month. During this holiday, children carry a special lantern called a
Diwali is a Hindu holiday. This holiday is celebrated for five days. At night, people light candles and oil lamps called
to brighten their houses and the streets.
How do you celebrate the winter holidays with bright lights?
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,0,0.7485072612762451,0.1770562082529068,0.04587574675679207,0.013651722110807896,0.014909015037119389
345,"The table shows how many medals the United States won in past Olympic Winter Games. Choose the answer to each question.
How many medals did the United States win in 1980?
In which year shown did the United States win 11 medals?
In which two years did the United States win the same number of medals?.
How many total medals did the United States win in 1980 and 1984?
In which year shown did the United Staes win the fewest medals?
How many more medals did the United States win in 1980 than in 1984?
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,0,0.7794909477233887,0.15300795435905457,0.04195587709546089,0.012209218926727772,0.013336083851754665
371,"The map below shows the continent of South America. Use the map and the key to answer the questions below.
South America is bordered on the east by the __________ Ocean.
The rain forest __________ covers the northern part of South America.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,0,0.7684453725814819,0.16517676413059235,0.03903057053685188,0.01399655919522047,0.013350744731724262
319,"People often confuse spiders with insects. The chart below shows some of the differences between spiders and insects. Use the chart to correctly answer each question.
How many legs does an insect have?
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,0,0.8046720623970032,0.13110525906085968,0.03745650127530098,0.012761135585606098,0.014005158096551895
406,"November 4 is Election Day. On that day, Americans will vote for the person to be the countrys top leader. They will
, or choose, the next president of the United States. John McCain and Barack Obama are running for president. Learn more about them below.
McCain with wife and dogs: courtesy of JohnMcCain.com
John McCain and his wife, Cindy, sit with their two dogs, Coco and Sam.
He is married to Cindy McCain. They have four sons and three daughters.
If John McCain wins, he will be the oldest person to become president.
John McCain has many petsthree parakeets, two dogs, two turtles, a cat, a ferret, and 13 fish. He loves watching sports. His favorites are basketball, football, and baseball.
Barack Obama, his wife, Michelle, and their daughters, Malia and Sasha, wave to a crowd.
He is married to Michelle Obama. They have two daughters.
If Barack Obama wins, he will be the first African American to become president.
Barack Obama is left-handed. He loves hot sauce. His favorite meal to cook is chili. He exercises every morning. He likes to jog and play basketball.
Why is it important for people to vote?
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,0,0.6281997561454773,0.2686234414577484,0.07932288944721222,0.010365858674049377,0.01348807755857706
236,"Our world is filled with wild and weird creatures. Scientists say that there are millions of creepy crawlers for each person on Earth. Take a look at some of those creatures.
Arachnids and insects are two types of creepy, crawling creatures.
(ah-RAK-nidz) have eight legs. Scorpions and spiders are arachnids.
have fangs and stingers. Some scorpions' skin can glow in certain types of light. Many scorpions live in deserts around the world.
are yellow. That helps them stay hidden. The spiders wait on the inside of flowers. They hide there to catch insects for food.
have six legs. Goliath beetles and katydids are two kinds of insects.
can grow to be 6 inches long. The beetles are so large that some people say they sound like helicopters when they fly.
are covered in spikes and horns. They may look scary but are harmless. Their look is meant to scare other insects away.
Both arachnids and insects are invertebrates (in-VEHR-teh-brayts). They are animals with no backbone! Here are two more invertebrates that squirm and wiggle.
have a body part that makes a slimy liquid. As the slugs wiggle, the slime helps them slide and squirm along.
have about 230 legs and many body sections. Together, the legs and body sections help millipedes wiggle around.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,0,0.7590206861495972,0.1671418994665146,0.04069455340504646,0.01928994432091713,0.013852961361408234
381,"Stay safe while having a super summer.
Grab your beach towel and sunglasses! Summer is just around the corner. It starts on June 21. For most kids, that means more time to play outside. Experts say that more injuries occur during summer. Follow these tips to make sure you have a safe summer.
Many kids will spend hours playing outside in the summer sun. Be careful, though. The suns rays can be harmful. They can cause damage to your skin and eyes.
If you are out in the sun, be sure to wear sunscreen. Experts say it should have a
(SPF) of 30 or higher. The SPF number lets you know how much the sunscreen protects your skin from the sun. Make sure you rub it in everywhere your skin is showing.
You should also wear a hat and sunglasses. They protect against the suns harmful rays. Better yet, play in the shade!
What is one way to beat the heat? Splash in a pool! Just be sure to follow water-safety rules. Always swim with a grown-up watching you. You should also swim with a buddy. A buddy can tell others if someone needs help. If you dont know how to swim, stay in the
end. Something that is shallow is not deep.
Biking and in-line skating are great ways to get exercise. To stay wheel safe, always wear a helmet. It protects your head and brain if you fall. If you are in-line skating, also wear wrist guards, elbow pads, and kneepads.
What other ways can you stay safe this summer?
measures published under license with MetaMetrics, Inc.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,0,0.7404332160949707,0.18497079610824585,0.04676024615764618,0.014493430964648724,0.013342268764972687
553,"Can dogs help children read? Two dogs are doing just that at a library in New Jersey! Children read aloud for 20 minutes as furry friends Emma and Sophie listen. Emma is an English Labrador, and Sophie is an English sheepdog.
or listeners, for beginning readers who may feel nervous. ""We hope that children find the program fun and that they want to come back,"" Ann Woodrow, youth services librarian, told
. She also said she hopes children connect reading with fun.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,0,0.6871429085731506,0.22271215915679932,0.06581642478704453,0.01029349397867918,0.014034970663487911
205,"invented in 1906 by Frank Henry Fleer
invented in 1948 by George de Mestral
People have been inventing things for years. Paper was invented about 2,000 years ago. The wheel was invented more than 5,000 years ago. What would life be like without paper to write on or bikes to ride? Those inventions have made life easier.
The Wright brothers invented the first airplane in December 1903. That makes 2003 the 100th anniversary! Before the airplane was invented, most people traveled by cars, boats, and trains. Today, airplanes help people travel faster. How do airplanes help you?
Alexander Graham Bell invented the telephone in 1876. Before the telephone was invented, people kept in touch by writing letters or talking in person. Today, the telephone makes it easier for people to talk to one another. How do telephones help you?
The first four-wheeled gas-powered car was invented by Karl Benz in 1891. Before people had cars, they couldn't travel easily. They walked or rode horses for short trips. They took trains or boats for long trips. Today, cars are one of the main ways people travel. How do cars help you?
What are some other inventions that have changed our world?
People worked for years to make the first computer. It was built in 1946. The first computer was called ENIAC. Today, computers are an important part of many people's lives. People use computers as tools to write, get information, and much more. How do computers help you?
measures published under license with MetaMetrics, Inc.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2,0,0.7253510355949402,0.18357256054878235,0.060499146580696106,0.016270490363240242,0.01430672500282526
