Index,Text,Grade,Type
54,"The table below shows information about the five
or kinds, of rhinos. Choose the answer that completes each sentence or answers each question.
Which of these rhinos is found in Asia?
How many horns does a black rhino have?
How many species of rhinos come from Africa?
Besides the Indian rhino, what other type of rhino has only one horn?
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
606,"Can a 10-year-old shelter dog get a part in a New York play? Thats what happened to Whiskey, a cocker spaniel that recently won a role in the play
. The play is about a girl who looks for a family to care for her.
Whiskey and 11 of his dog friends
or tried out, for the part. The judges needed a friendly dog, and they found that in Whiskey.
Susan Richmond is a director at the Humane Society of New York, where Whiskey lives. She says that Whiskey is a gentle dog. ""Animals in shelters are wonderful animals,"" says Richmond.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
413,"Polar bears live near the North Pole.
asked you to vote for the cutest animal in November. We received nearly 20,000 votes! Now it's up to you to put the countdown in order from sixth to first place.
Polar bears are animals that live near the North Pole. The ground there is mostly ice. The fur on polar bears looks white. Polar bears hunt and eat seals and other ocean animals. Most polar bear cubs stay with their mothers until they are about 2 years old.
Pandas are animals that live mainly in China. They live on the ground in damp, cold forests. Pandas' fur is black and white. They eat leaves from bamboo trees. Experts say that pandas have an extra thumb near their wrist to hold the bamboo while they eat.
Koalas are small animals that live in Australia. Koalas live in trees and sleep during the day. These animals usually have brown fur. They eat the leaves of eucalyptus (yoo-kuh-LIP-tuhss) trees. Young koalas often ride on their mothers' backs.
Rabbits are animals found all over the world. They usually live on grasslands in
. Burrows are underground tunnels. Some rabbits have brown fur, long ears, big, dark eyes, and strong hind legs. Rabbits eat mostly grass and other vegetables.
Dolphins are gray and have long beaks.
Penguins are seabirds that live in the southern part of the world. Most penguins live near cold ocean water. Many penguins are black with white bellies. They eat fish and other ocean animals. Penguins stay warm by standing close to one another.
Dolphins live in most oceans. They swim by moving their tails. Dolphins are gray and have long beaks. They eat mostly fish. Experts say that dolphins are some of the smartest animals on Earth.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
466,"The diagram shows what the inside of a human ear looks like. Use the diagram to answer the questions. Choose your answers.
The _____ sends signals to the auditory nerve.
Which part of the ear collects sound?
The _____ is one of the body's smallest bones.
Which part of the ear sends messages to the brain?
Sound travels through the _____ to the eardrum.
Before it reaches the hammer, sound hits the _____.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
306,"Eating foods that are good for you will help you feel great. What should you eat? Experts say a healthy diet is made up of foods from these groups.
help your heart and give you energy. Try whole-grain breads and crackers, oatmeal, and plain popcorn.
help your heart, eyes, skin, and teeth. Try apples, oranges, grapes, carrots, broccoli, and peppers.
build strong bones and teeth. Try low-fat milk, yogurt, and cheese.
Chicken: James BO Insogna/ Shutterstock; beans: Photodisc
build strong muscles. Try fish, chicken, kidney beans, lima beans, and nuts.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
455,"Read about the growth of a butterfly. Then fill in the circle next to the correct answer to each question.
Female monarchs lay eggs on the leaves of milkweed plants.
A larva, or baby caterpillar, hatches from an egg.
After a few weeks, the larva grows into a pupa. It forms a hard shell called a
When the pupa grows into an adult butterfly, it comes out of the chrysalis.
1.   How many steps are in a butterflys life?
2.   Where does a female monarch lay eggs?
 on the leaves of milkweed plants
3.   What hatches from the egg?
4.   What does the pupa do in the chrysalis?
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
523,"Veterans Day is November 11. It is a time to
brave Americans. To honor is to show great respect.
Veterans are men and women who have served in the
. The armed forces are five groups that keep our country safe. They are the Army, Navy, Air Force, Marine Corps (KOHR), and Coast Guard.
About 25 million veterans live in our country today. Many of those people have fought in wars. They have also served in times of peace.
Many cities have parades on Veterans Day. Bands play music and march down the streets. Veterans march too.
People wave American flags. The flag is a
of our freedom. A symbol is an object or a sign that stands for something else. What other symbols of our country can you name?
measures published under license with MetaMetrics, Inc.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
372,"Turn down the music! A new study shows that many young people have hearing damage. Health experts say one likely cause is MP3 players. Why? The music players send loud sounds straight into the ears.
They are tiny nerve endings in the inner ear. If a sound is loud enough, the damage can be
How can you tell whether your music is too loud? While listening to music, you should be able to hear someone talking from a few feet away. You can also ask friends whether they can hear music from your earphones. If they say yes, turn it down.
What else can you do to protect your hearing?
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
327,"Groundhogs get ready for a winter rest.
Animals need food to survive. In some places, winter brings cold weather. Food is hard to find. Groundhogs
to survive the winter. When an animal hibernates, it goes into a long, deep sleep.
A groundhog starts to get ready in the fall. It eats a large amount of plants. Its body stores fat. The animal will live off the extra fat in the winter.
. A den is an underground hole. Groundhogs have separate winter and summer dens. Each den has different
When the weather gets colder, the groundhog goes inside a sleeping chamber. It closes the opening with dirt. Then the animal rolls up into a ball and hibernates. The groundhogs body slows down. Its heartbeat slows. Its body temperature drops. Its breathing slows too.
When the weather gets warmer, the groundhog wakes up. It is very hungry! It moves from its winter den to its summer den. The animal eats plants that are growing nearby.
Why might food be harder to find in the winter?
measures published under license with MetaMetrics, Inc.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
458,"A bouncing baby gorilla was recently born at Zoo Atlanta, in Atlanta, Georgia. Five gorillas have been born at the zoo in the past 10 months.
""Weve had a baby boom,"" said Susan Elliott, an expert at the zoo. ""Its really exciting to watch the babies play and swing.""
The newest baby was born to Sukari, a female, and Taz, a male. Taz is a
gorilla. He has a patch of silver hair on his back. The baby gorilla is getting used to its new family and life at the zoo.
All trademarks and logos are property of Weekly Reader Corporation.
",0,WRLevel2
