Index,Text,Grade,Type
995,"Spanish ads miss out unnecessary words and shorten others - just like English ads do!
Sometimes ads will give information (like phone numbers) that doesn't need to be used in the answer.
Remember - sometimes the word or expression used in the ad isn't the same as the one used in the question. You have to think about what it actually
Don't be put off if things are mentioned in a different order in the question and the ad.
Don't just read it, practise your Spanish with downloadable audio bites.
Give your revision some visual style with a Bitesize revision map!
Real Spanish, real drama from BBC languages.


",5,BitGCSE
6603,"This exercise should help you with a common question on the Foundation paper, which asks you to write a postcard of 30 - 40 words in German, including the answers to five questions.
Here are three examples of questions that require you to write a postcard. Read the answers carefully, as they have no mistakes in them. You may want to print them off and learn some of the standard phrases, to use in your exam.
Sie sind im Urlaub. Schreiben Sie eine Postkarte an ihren/ihre Brieffreund/in. Schreiben Sie nicht mehr als 40 Wrter.
Ich verbringe meine Ferien in Spanien. Ich bin fr eine Woche hier. Das Wetter ist sehr hei und das Essen schmeckt lecker. Wir fahren jeden Tag mit dem Rad in die Berge.
Du verbringst deine Ferien am Strand in Italien. Schreibe eine Postkarte an eine/einen Freundin/Freund.
Ich bin in Italien. Wir wohnen in einem Wohnwagen am Strand. Die Sonne scheint und es ist sehr hei. Gestern habe ich im Meer geschwommen. Ich esse jeden Tag Spaghetti und Eis.
Schreibe eine Postkarte an Lars mit folgenden Informationen.
zu Hause verbracht. Ich bin Rad gefahren, und habe ferngesehen. Mein Lieblingsessen war Pommes und Hamburger. Es hat jeden Tag geregnet. Ich mchte nchstes Jahr in die Berge fahren.
Use your language skills in this sinister game of intrigue and detection.
Learn to sprechen like a native with the BBC.


",5,BitGCSE
2147,"There are many frightening ideas in the poem that are suggested but not developed:
(line 2), a door being locked (line 3), the child being
(line 13). It is left to us to imagine exactly what happened on those occasions, but there is a definite sense of fear on the part of the child. Again, we wonder exactly what took place - who do we believe?
There are a number of violent verbs - 'hurt, argued, forced, begged' - which add to the sense of danger.
(line 11) brings in an even darker
A central, unifying idea that runs through a text or performance.
, once more creating questions for the reader. Who are these secret police, described as
- the parents themselves, assuming a role of authority and power, or some other dictatorial group?
Words that express the sound they stand for, eg 'crunch', 'pop'.
(line 12), which would have drowned out any attempt by the child to put their own point of view. We associate a booming sound with explosions and bombs, so did the voices have the same sort of effect on the child as a bomb attack would have done? It is ironic that the parent uses the
A description of one thing in terms of another - implicitly comparing the two, but without using 'as' or 'like'. 'Sea of troubles', and 'drowning in debt' are metaphors. Something that represents another thing.
(line 10) to indicate the control they had over the child, when the 'music' produced was so violent.
A group of lines of poetry that make up a unit - like a paragraph in a piece of prose; a verse.
(line 16) are and what is meant by
(line 17). What hellish situation is the grown-up child now in? There is a sense of bitterness. It is clear that in the child's view at least their current awful situation is the result of what happened in their childhood.
Where a phrase or word is repeated several times to emphasise or make a particular point.
in the poem. Nobody and No are heard constantly, so the negative ideas are hammered home.
The pattern of stressed and unstressed syllables in a line of poetry.
created by the short sentences within the lines. This gives a feeling of awkwardness, perhaps mirroring the relationship between the parents and child. Nothing is smooth or easy.
In poetry, the use of words which have the same or a similar sound - eg 'flow' and 'bow' - to form a pattern of sound.
, but not regular. Sometimes rhymes occur at the ends of lines (moors / door and tune / Boom), sometimes there is internal rhyme (Hell / well). This creates an uneven echo, adding to the
A feeling of potential conflict between a group of people. In an audience or reader, a sense of potential conflict, or a feeling of anxiety due to what may be about to happen.
Get some direction with a Bitesize revision map
Get creative, get published and get expert writing advice at BBC Blast.


",5,BitGCSE
5412,"""Quite against what I expected, I found myself strangely excited by the bombed buildings, but still more by the unbelievable scenes and life of the underground shelters... I went into London two or three days a week to do my shelter drawings... I began filling a notebook with drawings - ideas based on London's shelter life. Naturally I could not draw in the shelter itself; I drew from memory on my return home"" Henry Moore
 The Henry Moore Foundation, This image must not be reproduced or altered without prior consent from the Henry Moore Foundation
Study for Row of Sleepers, 1941, Henry Moore
Henry Moore's Shelter Drawings have clearly influenced the large sculptures shown below and on the next page, even those these sculptures were completed after the Second World War.
Click on the image to see a bigger version. (If you have Flash, click Magnify to see the detail - to remove the viewfinder just click Magnify again.)
Note how the artist has used his knowledge of cloth falling over the reclining figure below as an influence.
 Art Gallery of Ontario / The Henry Moore Foundation, This image must not be reproduced or altered without prior consent from the Henry Moore Foundation
Back to AO2 - Analyse and evaluate index
Post ideas and discuss Art and Design here.
Get some direction with a Bitesize revision map
Get creative! Find Art & Design tips and inspiration.


",5,BitGCSE
3431,"Public health is about avoiding the spread of disease within a particular society - often through providing water to help people keep clean. The Romans understood that dirty conditions made people ill, and provided many facilities - such as
- to promote public health. They had every incentive to do this, as they wanted the soldiers in their army to remain healthy, in order to keep the empire under control.
Three important factors combined to cause them to create a public health system. Their suspicion of
, their realisation that the army needed hygienic conditions to keep their
Like the Greeks, the Romans believed in personal health and hygiene - the writer Juvenal coined the phrase
""a healthy mind in a healthy body""
. The Roman writer Celsus advised exercises before a meal, and bathing weak parts of the body (copying Hippocrates's, 'Programme for Health'). Galen prescribed gym exercises and deep breathing as a way to health.
Settlements such as army camps, were sited in healthy places (not near swamps). In other places marshes were
(Julius Caesar drained the Codetan swamp near Rome), which reduced malaria.
Fed up with reading? Give your ears a treat and listen to some History audio.
All things historic - from ancient to modern.


",5,BitGCSE
2939,"The Earths lithosphere is broken into large pieces called
continental plates form the continents - land
Tectonic plates are less dense than the mantle, so they are found on top of it. The plates are moving constantly, at a rate of a few centimetres each year.
Where tectonic plates meet, the Earths crust becomes unstable as the plates push against each other, or ride under or over one another. Earthquakes and volcanic eruptions happen at the boundaries between plates.
Magma - molten rock - is less dense than the crust. It can rise to the surface through weaknesses in the crust, forming a volcano.
Geologists study volcanoes to try to predict future eruptions. Volcanoes can be very destructive, but some people choose to live near them because volcanic soil is very fertile. It contains minerals needed by plants for healthy growth.


",5,BitGCSE
1715,"Perfect your volley shot with this training video.
In order to see this content you need to have both
Post ideas and discuss Physical Education here.
Learn all about eating to increase performance!
Learn all the skills you need to succeed in sport.


",5,BitGCSE
3478,"By a theme we mean an idea that runs through the text. A
Any piece of writing. More widely, a text can be anything that conveys meaning - eg, a film, tv programme, advert, website, or image.
may have one theme, or many. Understanding the themes makes the text more than 'just' a story - it becomes something more significant, because we're encouraged to think deeper about the story and work out what lies beyond the
The sequence of events in a narrative; a story
is a book about growing up. The reader meets Pip when he is seven, and follows his life until he meets Estella again (after 11 years apart) at the age of 35.
The proper term for this kind of story is the German word
A type of novel that tells about the the early moral, psychological, and intellectual development of the main character. The Harry Potter books are a modern day example.
The fact that Pip is also the narrator of the story makes it more instructive, because he is able to interpret the meaning of what is happening, as well as see it through a child's eyes.
The reader lives Pip's life with him, and we see:
the way contact with rich people makes him dissatisfied.
how coming into money makes him shallow and selfish, and unhappy.
how trying to find love with a beautiful, yet cruel, girl makes him unhappy - the plain, good girl would have been better.
how disappointments change his character for the better.
how Pip is happier when he settles down to a decent living through hard work - this is one of the main messages of the novel.
Read the full text online and make your own notes.
Get creative, get published and get expert writing advice at BBC Blast.


",5,BitGCSE
2769,"At the risk of sounding like your mum, a balanced diet really is essential for good health. There are seven building blocks for a healthy diet, including carbohydrates, proteins, fats, vitamins, minerals and fibre. Add water to the mix and youre shaping up nicely!
We take energy from food in the form of kilojoules. How much energy you need depends on your body type and the amount of physical activity you do. How you use or store energy influences your weight, shape and sporting performance.
We all need to eat a balanced diet to maintain good health. It is vital that athletes have all the nutrients they need to help them perform at their best.
There are 7 components (food types) in a balanced diet:
When do we need it in sport?
Provides quick energy. 60% of our diet should comprise 'carbs'.
Running. Athletes in training will eat more 'carbs'. Marathon runners will '
Building up stores of fuel in the muscles by resting and eating lots of pasta etc for three days prior to a marathon or other endurance event.
NB Unsaturated fats are healthy. Too much saturated fat from animal products can lead to heart disease.
Provides slow energy. 25% of our diet should be fat.
Walking and low impact exercise - it produces energy too slowly to be used when working hard.
Builds and repairs muscle. We only need 15% of our diet to be protein.
When training hard and recovering from injury. Power athletes such as weight lifters will eat more protein.
- for energy production and stress reduction
Helps release energy from food. Helps decision making
Can't be digested. Fills you up and keeps you 'regular'
Healthy digestion, (no constipation) helps in sport. Also helps with weight control.
The tap! It's all you need most of the time.
Post ideas and discuss Physical Education here.
Learn all about eating to increase performance!
Learn all the skills you need to succeed in sport.


",5,BitGCSE
3450,"For your exam, you will need to know what relative formula mass is - and be able to work out the relative formula mass of a
A compound is a substance formed by the chemical union (involving bond formation) of two or more elements.
To find the relative formula mass (M
) of a compound, you just add together the A
values for all the atoms in its formula.
(23 x 2) + 16 = 62
The relative formula mass of a substance, shown in grams, is called
of that substance. So one mole of carbon monoxide has a mass of 28g, and one mole of sodium oxide has a mass of 62g.
The table shows some more examples of relative formula mass calculations, using the relative atomic mass values given at the bottom of the page.
24 + 16 + 16 + 1 + 1 = (remember that there are two of each atom inside the brackets)
Get some direction with a Bitesize revision map


",5,BitGCSE
7064,"Read this question carefully. It is similar to the type of question you will be asked in the exam
Choose two poems which made you think about your own sense of cultural identity, and explain what you found interesting in the poems.
If you are ready to practise writing a full answer, you should spend 40 minutes on this, and write about two poems. In the exam itself, you will only have
Refer to anything you know about the
of the poem which helps you to understand the poems.
the poem is written, referring to particular words and phrases.
What do you think the poet has to say about the past, and the way it relates to the present?
If you would prefer to concentrate on just Tom Leonard's poem at this stage, write for 20 minutes.
In writing about this poem, you could include short paragraphs about:
The argument about language and power which the poem puts forward.
The dialect in which the poem is written, and the effect and significance of this.
What the poem led you to think about.
If you want to practise writing a full answer, you could also write about any of the poems in this selection. For example, the poems by Sujata Bhatt, John Agard, Moniza Alvi, Grace Nichols, Edward Kamau Brathwaite or Tatamkhulu Afrika would all make good choices.
When writing about two poems, you should try to end by making a
between the two. In what ways are the poems similar - in the style of language, or in ideas? In what ways are they different?
Back to Poems from different cultures index
Get some direction with a Bitesize revision map
Get creative, get published and get expert writing advice at BBC Blast.


",5,BitGCSE
